,index,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
92,170,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4
93,171,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4
94,172,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2
95,173,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3
96,180,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2
97,181,22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3
98,190,26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2
99,191,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4
100,192,24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3
101,193,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3
102,194,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2
103,196,26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2
104,198,25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3
105,199,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3
106,200,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4
107,201,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3
108,202,24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4
109,203,25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2
110,204,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4
111,205,25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2
112,206,25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2
113,207,23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3
114,208,25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2
115,214,24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4
116,215,22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4
117,219,23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3
118,220,23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3
119,224,24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2
120,225,23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2
121,226,21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2
122,227,24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2
123,228,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4
124,230,24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2
125,231,26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4
126,236,24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4
127,240,23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4
128,242,25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3
129,243,23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3
130,249,23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2
131,255,25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4
132,258,24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3
133,259,23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4
134,260,23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2
135,262,21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2
136,269,23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3
137,270,25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4
138,272,24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4
139,278,23,70550,RENT,3.0,MEDICAL,F,25000,19.04,1,0.3,Y,4
140,279,25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3
141,284,23,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,N,4
142,285,23,15000,OWN,4.0,VENTURE,B,4600,10.99,1,0.31,N,2
143,286,22,88000,RENT,6.0,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,Y,2
144,287,25,74800,RENT,2.0,MEDICAL,B,25000,10.99,1,0.28,N,2
145,288,25,88000,RENT,0.0,VENTURE,D,25000,14.96,1,0.28,N,4
146,290,26,88000,RENT,2.0,VENTURE,D,25000,15.65,1,0.28,N,3
147,292,23,15000,MORTGAGE,0.0,PERSONAL,C,3600,13.47,1,0.24,N,4
148,294,24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4
149,295,23,93000,RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,Y,2
150,301,25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,1,0.15,Y,3
151,303,21,15000,OWN,0.0,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,Y,3
152,304,25,96000,RENT,2.0,HOMEIMPROVEMENT,E,25000,15.68,1,0.26,Y,4
153,306,24,97908,RENT,8.0,HOMEIMPROVEMENT,D,25000,12.61,1,0.26,Y,2
154,308,23,15204,MORTGAGE,7.0,PERSONAL,A,2800,8.49,1,0.18,N,3
155,309,25,159600,RENT,0.0,PERSONAL,D,30000,17.27,1,0.19,Y,4
156,312,24,158004,RENT,0.0,HOMEIMPROVEMENT,D,25000,14.59,1,0.16,Y,2
157,316,22,15360,OWN,7.0,HOMEIMPROVEMENT,B,2500,12.53,1,0.16,N,3
158,317,25,134300,RENT,3.0,MEDICAL,D,5000,16.49,1,0.03,N,2
159,319,22,100580,RENT,6.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.25,Y,2
160,324,24,91800,RENT,5.0,MEDICAL,D,25000,15.33,1,0.23,Y,2
161,326,26,108000,RENT,2.0,PERSONAL,D,25000,15.05,1,0.23,N,3
162,338,24,15600,OWN,5.0,HOMEIMPROVEMENT,A,3300,6.39,1,0.21,N,4
163,341,25,15600,OWN,0.0,VENTURE,F,3200,18.09,1,0.21,N,2
164,347,22,153000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,24000,15.62,1,0.16,Y,2
165,351,23,16000,OWN,7.0,MEDICAL,A,6000,7.9,1,0.38,N,2
166,354,23,148000,RENT,1.0,DEBTCONSOLIDATION,E,25000,14.93,1,0.17,N,3
167,355,23,16000,MORTGAGE,1.0,MEDICAL,C,5600,12.84,1,0.35,N,4
168,356,24,16020,OWN,3.0,VENTURE,E,3625,17.14,1,0.23,Y,2
169,357,22,16094,MORTGAGE,2.0,VENTURE,A,5500,7.14,1,0.34,N,3
170,365,25,16400,OWN,1.0,PERSONAL,A,5000,8.94,1,0.3,N,4
171,366,23,16500,OWN,6.0,VENTURE,B,4375,9.63,1,0.27,N,4
172,367,25,49500,RENT,6.0,PERSONAL,C,24750,14.22,1,0.5,N,3
173,368,23,60000,RENT,4.0,DEBTCONSOLIDATION,B,24750,9.33,1,0.41,N,3
174,376,25,125800,MORTGAGE,0.0,MEDICAL,D,10000,14.09,1,0.07,N,4
175,377,25,54000,RENT,2.0,PERSONAL,C,24250,13.98,1,0.45,N,4
176,378,23,62500,RENT,1.0,EDUCATION,B,24250,10.62,1,0.39,N,4
177,380,25,68400,RENT,9.0,PERSONAL,E,24250,17.56,1,0.35,N,4
178,381,26,56045,RENT,1.0,MEDICAL,D,24250,14.96,1,0.37,N,2
179,382,22,74000,RENT,7.0,DEBTCONSOLIDATION,D,24250,15.65,1,0.33,Y,2
180,383,24,65453,RENT,9.0,MEDICAL,D,24250,15.7,1,0.31,N,2
181,385,26,78000,RENT,0.0,HOMEIMPROVEMENT,E,24250,17.56,1,0.31,Y,3
182,395,22,16800,MORTGAGE,0.0,HOMEIMPROVEMENT,C,4750,13.85,1,0.28,Y,2
183,397,21,16800,MORTGAGE,0.0,VENTURE,B,6000,10.39,1,0.36,N,4
184,401,22,108000,RENT,1.0,HOMEIMPROVEMENT,D,24150,14.96,1,0.22,Y,3
185,402,22,43000,RENT,7.0,DEBTCONSOLIDATION,C,24000,13.85,1,0.56,Y,3
186,403,23,47004,RENT,1.0,VENTURE,B,24000,11.58,1,0.51,N,4
187,404,24,48000,RENT,4.0,VENTURE,D,24000,16.29,1,0.5,Y,2
188,406,21,44964,RENT,2.0,EDUCATION,D,24000,16.29,1,0.53,Y,2
189,409,24,47000,RENT,3.0,PERSONAL,F,24000,17.8,1,0.51,N,2
190,411,22,49000,RENT,2.0,MEDICAL,E,24000,17.56,1,0.49,N,4
191,412,26,60000,RENT,0.0,PERSONAL,A,24000,7.9,1,0.4,N,4
192,413,25,60000,RENT,3.0,PERSONAL,B,24000,10.99,1,0.4,N,4
193,414,22,60000,RENT,0.0,PERSONAL,A,24000,7.29,1,0.4,N,3
194,415,21,60000,RENT,5.0,MEDICAL,B,24000,10.75,1,0.4,N,2
195,416,26,62004,RENT,9.0,DEBTCONSOLIDATION,A,24000,7.9,1,0.39,N,3
196,417,22,62400,RENT,3.0,EDUCATION,D,24000,14.84,1,0.38,N,2
197,420,23,59000,RENT,5.0,DEBTCONSOLIDATION,E,24000,19.69,1,0.41,Y,2
198,422,24,60000,RENT,0.0,VENTURE,D,24000,14.96,1,0.4,N,4
199,423,25,66143,RENT,9.0,EDUCATION,A,24000,6.99,1,0.36,N,3
200,424,22,62250,RENT,3.0,PERSONAL,E,24000,16.45,1,0.39,Y,4
201,425,24,70000,RENT,8.0,EDUCATION,B,24000,10.99,1,0.34,N,4
202,426,23,74000,RENT,7.0,DEBTCONSOLIDATION,B,24000,10.99,1,0.32,N,2
203,427,22,18000,OWN,3.0,PERSONAL,A,3000,7.9,1,0.17,N,4
204,428,22,75000,RENT,6.0,EDUCATION,B,24000,12.69,1,0.32,N,4
205,429,24,75000,RENT,9.0,MEDICAL,B,24000,10.37,1,0.32,N,3
206,431,26,69000,RENT,0.0,DEBTCONSOLIDATION,F,24000,15.83,1,0.35,N,3
207,432,23,78000,RENT,4.0,PERSONAL,C,24000,13.92,1,0.31,N,3
208,435,22,18000,OWN,1.0,HOMEIMPROVEMENT,A,3500,7.49,1,0.19,N,4
209,436,23,18000,OWN,3.0,EDUCATION,A,4000,5.99,1,0.22,N,2
210,437,23,74700,RENT,6.0,PERSONAL,D,24000,12.92,1,0.32,N,2
211,440,22,83000,RENT,6.0,DEBTCONSOLIDATION,E,24000,19.69,1,0.29,N,3
212,442,21,18000,OWN,3.0,HOMEIMPROVEMENT,D,4900,14.54,1,0.27,Y,4
213,446,24,18000,OWN,0.0,HOMEIMPROVEMENT,A,6250,6.54,1,0.35,N,4
214,448,26,103872,RENT,6.0,DEBTCONSOLIDATION,G,24000,20.03,1,0.23,N,4
215,451,26,108000,RENT,9.0,EDUCATION,G,24000,20.16,1,0.22,N,3
216,453,23,18000,MORTGAGE,1.0,MEDICAL,D,2500,15.95,1,0.14,N,2
217,457,23,114750,RENT,2.0,MEDICAL,G,24000,20.03,1,0.18,Y,3
218,459,23,138000,RENT,7.0,DEBTCONSOLIDATION,D,24000,16.0,1,0.17,Y,2
219,460,24,18000,OWN,6.0,PERSONAL,A,13000,7.88,1,0.72,N,3
220,461,21,18000,OWN,0.0,VENTURE,B,6250,10.62,1,0.35,N,4
221,463,26,148000,RENT,1.0,EDUCATION,F,24000,18.3,1,0.16,N,2
222,468,24,54996,RENT,2.0,PERSONAL,B,23600,11.89,1,0.43,N,3
223,469,24,18000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,10000,12.18,1,0.56,N,2
224,471,23,75000,RENT,3.0,PERSONAL,E,23575,14.5,1,0.31,N,4
225,473,22,18000,OWN,1.0,MEDICAL,D,5400,15.31,1,0.3,Y,2
226,476,22,66960,RENT,1.0,VENTURE,A,23400,7.49,1,0.35,N,2
227,479,23,60000,RENT,2.0,VENTURE,B,23000,12.18,1,0.38,N,4
228,481,25,63208,RENT,9.0,EDUCATION,B,23000,9.91,1,0.36,N,3
229,482,24,65000,RENT,0.0,HOMEIMPROVEMENT,B,23000,11.99,1,0.35,N,4
230,483,23,68000,RENT,7.0,EDUCATION,B,23000,9.62,1,0.34,N,2
231,484,22,18000,OWN,1.0,DEBTCONSOLIDATION,B,3000,9.96,1,0.17,N,3
232,486,24,88000,RENT,1.0,VENTURE,D,23000,14.54,1,0.26,N,2
233,487,22,58600,RENT,5.0,MEDICAL,B,22750,11.36,1,0.39,N,4
234,488,23,70000,RENT,7.0,DEBTCONSOLIDATION,C,22500,14.27,1,0.32,N,2
235,489,24,18287,OWN,3.0,HOMEIMPROVEMENT,B,3000,11.99,1,0.16,N,3
236,490,26,69846,RENT,2.0,EDUCATION,F,22500,18.99,1,0.32,Y,2
237,491,24,73000,RENT,0.0,VENTURE,E,22400,16.7,1,0.31,Y,4
238,492,24,18500,MORTGAGE,8.0,PERSONAL,A,5000,9.32,1,0.27,N,3
239,493,23,35000,RENT,2.0,DEBTCONSOLIDATION,B,22250,12.69,1,0.64,N,3
240,494,25,43000,RENT,9.0,HOMEIMPROVEMENT,C,22000,13.11,1,0.51,N,2
241,495,25,52000,RENT,4.0,PERSONAL,B,22000,10.74,1,0.42,N,2
242,496,21,18701,MORTGAGE,0.0,PERSONAL,D,4200,14.11,1,0.22,Y,4
243,497,22,57000,RENT,6.0,EDUCATION,B,22000,9.63,1,0.39,N,3
244,498,25,58000,RENT,0.0,MEDICAL,C,22000,14.65,1,0.38,N,2
245,499,23,60000,RENT,6.0,DEBTCONSOLIDATION,B,22000,10.25,1,0.37,N,4
246,500,24,60000,RENT,3.0,VENTURE,C,22000,14.26,1,0.37,Y,2
247,501,25,18840,MORTGAGE,5.0,EDUCATION,B,3000,9.91,1,0.16,N,2
248,502,26,56000,RENT,7.0,MEDICAL,E,22000,17.19,1,0.39,N,3
249,503,22,70000,RENT,3.0,EDUCATION,B,22000,11.36,1,0.31,N,4
250,507,22,19000,OWN,6.0,MEDICAL,A,3625,8.49,1,0.19,N,3
251,509,21,19000,OWN,5.0,MEDICAL,A,6000,8.49,1,0.32,N,3
252,512,24,19000,OWN,3.0,MEDICAL,C,7400,13.85,1,0.39,N,2
253,513,25,19000,OWN,3.0,DEBTCONSOLIDATION,A,4000,7.4,1,0.21,N,3
254,515,25,77650,RENT,8.0,PERSONAL,B,22000,11.48,1,0.28,N,3
255,516,25,82000,RENT,1.0,EDUCATION,E,22000,17.51,1,0.27,N,2
256,517,21,19012,MORTGAGE,0.0,DEBTCONSOLIDATION,D,3500,14.61,1,0.18,N,3
257,520,22,19200,MORTGAGE,6.0,PERSONAL,B,4950,11.71,1,0.26,N,2
258,521,25,57000,RENT,4.0,PERSONAL,B,21700,11.99,1,0.38,N,2
259,522,24,54000,RENT,5.0,VENTURE,C,21600,13.49,1,0.4,N,2
260,523,23,56000,RENT,8.0,MEDICAL,G,21600,21.21,1,0.39,Y,4
261,524,26,63000,RENT,2.0,DEBTCONSOLIDATION,C,21600,14.35,1,0.34,Y,3
262,526,22,78000,RENT,6.0,DEBTCONSOLIDATION,B,21600,11.26,1,0.28,N,3
263,530,25,19200,OWN,4.0,EDUCATION,B,3000,11.99,1,0.16,N,4
264,531,24,59000,RENT,5.0,MEDICAL,D,21500,16.89,1,0.36,N,3
265,532,24,70000,RENT,5.0,HOMEIMPROVEMENT,B,21500,9.99,1,0.31,N,3
266,534,25,60000,RENT,5.0,EDUCATION,A,21450,7.29,1,0.36,N,4
267,535,22,31000,RENT,5.0,DEBTCONSOLIDATION,B,21250,12.42,1,0.69,N,3
268,536,25,47052,RENT,5.0,VENTURE,B,21250,10.99,1,0.45,N,2
269,537,25,51060,RENT,9.0,VENTURE,A,21250,6.91,1,0.42,N,2
270,538,22,19200,MORTGAGE,6.0,DEBTCONSOLIDATION,C,5000,14.17,1,0.26,Y,2
271,539,22,53000,RENT,3.0,MEDICAL,B,21250,10.25,1,0.4,N,3
272,541,24,56000,RENT,8.0,VENTURE,D,21250,15.95,1,0.38,Y,3
273,542,24,65000,RENT,4.0,EDUCATION,D,21250,15.95,1,0.33,Y,4
274,543,21,35000,RENT,3.0,VENTURE,B,21000,12.53,1,0.6,N,4
275,544,22,19200,MORTGAGE,6.0,HOMEIMPROVEMENT,D,1400,14.91,1,0.07,Y,4
276,546,26,40000,RENT,3.0,MEDICAL,A,21000,6.54,1,0.53,N,4
277,548,26,42000,RENT,0.0,MEDICAL,F,21000,17.26,1,0.5,Y,4
278,549,23,63000,RENT,2.0,MEDICAL,B,21000,11.36,1,0.33,N,2
279,550,26,19200,MORTGAGE,5.0,VENTURE,A,4000,7.51,1,0.21,N,4
280,551,22,59000,RENT,2.0,PERSONAL,B,21000,10.71,1,0.36,N,3
281,553,26,65219,RENT,11.0,DEBTCONSOLIDATION,D,21000,14.09,1,0.32,N,3
282,555,22,19200,MORTGAGE,3.0,MEDICAL,D,5000,15.33,1,0.26,N,3
283,556,25,62047,RENT,9.0,MEDICAL,E,21000,16.32,1,0.29,Y,4
284,562,26,81000,RENT,10.0,EDUCATION,E,21000,16.95,1,0.26,Y,3
285,565,25,100000,RENT,2.0,PERSONAL,D,21000,16.49,1,0.21,Y,3
286,566,26,19200,OTHER,0.0,PERSONAL,C,7500,11.97,1,0.39,Y,2
287,571,21,19500,MORTGAGE,0.0,EDUCATION,B,15000,9.64,1,0.77,N,2
288,572,26,50000,RENT,7.0,VENTURE,A,20500,7.49,1,0.41,N,3
289,576,23,54000,RENT,7.0,PERSONAL,A,20375,7.49,1,0.38,N,2
290,577,26,26000,RENT,10.0,EDUCATION,B,20050,9.76,1,0.77,N,2
291,578,24,33000,RENT,1.0,DEBTCONSOLIDATION,B,20000,10.99,1,0.61,N,3
292,581,24,35364,RENT,1.0,MEDICAL,B,20000,12.53,1,0.57,N,4
293,582,25,38000,RENT,4.0,MEDICAL,D,20000,14.59,1,0.53,N,4
294,583,23,32000,RENT,3.0,DEBTCONSOLIDATION,D,20000,12.61,1,0.63,N,4
295,584,25,38004,RENT,6.0,MEDICAL,C,20000,13.11,1,0.53,N,2
296,586,25,38556,RENT,9.0,PERSONAL,C,20000,11.22,1,0.52,Y,4
297,587,23,32900,RENT,1.0,EDUCATION,D,20000,16.0,1,0.61,N,2
298,588,25,34000,RENT,10.0,HOMEIMPROVEMENT,B,20000,8.88,1,0.59,N,4
299,589,24,40000,RENT,4.0,PERSONAL,B,20000,12.53,1,0.5,N,3
300,592,25,42000,RENT,2.0,EDUCATION,C,20000,13.47,1,0.48,N,4
301,593,22,42224,RENT,7.0,VENTURE,A,20000,6.99,1,0.47,N,4
302,596,22,37212,RENT,6.0,DEBTCONSOLIDATION,E,20000,16.69,1,0.54,N,3
